"","Bees","Butterflies","Hoverflies","Humbleflies"
"7 A6 PUPA",0,0,0,1
"7 B4 PUPA",0,1,0,1
"7 B5 PUPA",0,0,0,1
"7 C2 PUPA",0,0,0,1
"7 C3 PUPA",0,1,0,0
"7 C4 PUPA",0,0,0,1
"7 E3 PUPA",2,0,0,0
"7 E4 PUPA",0,1,0,3
"7 E6 PUPA",0,0,0,1
"7 F3 PUPA",0,1,0,1
"7 F4 PUPA",0,1,0,0
"7 F6 PUPA",0,1,0,0
"8 A2 PUPA",0,0,1,0
"8 B2 PUPA",0,1,0,0
"8 B3 PUPA",0,1,0,3
"8 B4 PUPA",0,0,0,1
"8 B5 PUPA",0,0,0,1
"8 C2 PUPA",0,1,0,1
"8 C3 PUPA",0,2,0,6
"8 C4 PUPA",0,1,0,1
"8 C5 PUPA",0,1,0,0
"8 C6 PUPA",0,0,0,1
"8 D2 PUPA",0,2,0,2
"8 D3 PUPA",0,2,0,2
"8 D4 PUPA",0,0,0,3
"8 D5 PUPA",0,0,0,2
"8 D6 PUPA",0,1,0,3
"8 E1 PUPA",0,0,2,1
"8 E2 PUPA",0,0,0,2
"8 E3 PUPA",0,1,0,3
"8 E5 PUPA",1,0,0,0
"8 F1 PUPA",0,0,0,2
"8 F2 PUPA",0,0,0,2
"8 F3 PUPA",0,1,0,0
"8 F4 PUPA",0,0,0,1
