"","Flies","Hoverflies","Mosquitoes","Small_flies"
"A1 CHFU",0,0,0,1
"A5 CHFU",0,0,0,6
"B1 CHFU",0,0,0,1
"B2 CHFU",0,1,0,2
"B3 CHFU",0,0,0,2
"B4 CHFU",0,0,0,1
"B5 CHFU",0,0,0,1
"B6 CHFU",0,0,0,8
"C3 CHFU",0,0,0,4
"C4 RAPE",0,0,0,1
"C6 CHFU",0,0,0,3
"D1 CHFU",0,0,0,4
"D2 CHFU",0,0,0,1
"D3 CHFU",0,0,0,1
"D4 CHFU",0,0,0,1
"D4 RAPE",0,0,0,1
"D5 CHFU",0,0,0,1
"D6 CHFU",0,0,0,3
"E2 CHFU",1,0,0,1
"E3 CHFU",0,0,0,2
"E4 CHFU",0,0,0,2
"E5 CHFU",0,0,0,1
"F1 CHFU",0,0,0,1
"F2 CHFU",0,0,0,6
"F3 CHFU",0,0,0,1
"F4 CHFU",0,0,0,3
"F5 CHFU",0,0,1,1
