Plot,Plant,Month,Day,n,Week,Line
1,CETE,6,9,1,24,1
1,CETE,6,18,1,25,1
1,CHFU,2,13,1,07,1
1,CHFU,3,5,1,10,1
1,CHFU,3,10,12,11,1
1,CHFU,4,22,1,17,1
1,LEMA,4,22,227,17,1
1,LEMA,5,6,63,19,1
1,LEMA,5,19,19,21,1
1,LEMA,5,29,8,22,1
1,LEMA,6,1,2,23,1
1,LEMA,6,9,2,24,1
1,LEMA,6,18,1,25,1
1,PUPA,6,9,2,24,1
1,PUPA,6,18,3,25,1
2,BEMA,4,22,1,17,1
2,CETE,5,29,5,22,1
2,CETE,6,1,2,23,1
2,CETE,6,9,1,24,1
2,CETE,6,18,2,25,1
2,CHFU,2,13,3,07,1
2,CHFU,3,5,5,10,1
2,CHFU,3,10,10,11,1
2,LEMA,4,22,183,17,1
2,LEMA,5,6,33,19,1
2,LEMA,5,19,12,21,1
2,LEMA,5,29,12,22,1
2,LEMA,6,1,1,23,1
2,LEMA,6,9,1,24,1
2,PUPA,5,29,4,22,1
2,PUPA,6,1,1,23,1
2,PUPA,6,9,3,24,1
2,PUPA,6,18,3,25,1
3,CETE,5,29,1,22,1
3,CETE,6,18,1,25,1
3,CHFU,3,5,4,10,1
3,CHFU,3,10,14,11,1
3,CHFU,4,22,1,17,1
3,CHMI,4,22,6,17,1
3,LEMA,4,22,64,17,1
3,LEMA,5,6,49,19,1
3,LEMA,5,19,9,21,1
3,LEMA,5,29,6,22,1
3,LEMA,6,1,1,23,1
3,LEMA,6,9,10,24,1
3,PUPA,5,29,5,22,1
3,PUPA,6,9,10,24,1
3,PUPA,6,18,5,25,1
4,LEMA,4,22,48,17,2
4,LEMA,5,5,17,19,2
4,LEMA,5,18,1,21,2
4,LEMA,6,1,3,23,2
4,LEMA,6,8,6,24,2
4,PUPA,6,16,1,25,2
5,LEMA,4,22,52,17,2
5,LEMA,5,5,10,19,2
5,LEMA,5,18,3,21,2
5,LEMA,6,1,3,23,2
5,LEMA,6,16,2,25,2
5,PUPA,6,16,1,25,2
6,LEMA,4,22,23,17,2
6,LEMA,5,5,10,19,2
6,LEMA,6,8,2,24,2
6,PUPA,6,8,1,24,2
6,PUPA,6,16,3,25,2
7,BEMA,4,22,2,17,3
7,BEMA,5,5,2,19,3
7,CETE,5,5,1,19,3
7,CHFU,2,26,4,09,3
7,CHFU,3,5,1,10,3
7,LEMA,3,5,2,10,3
7,LEMA,3,10,34,11,3
7,LEMA,4,22,49,17,3
7,LEMA,5,5,33,19,3
7,LEMA,5,19,6,21,3
7,LEMA,5,28,2,22,3
7,MESU,5,5,2,19,3
7,SPRU,4,22,1,17,3
7,SPRU,5,19,1,21,3
8,BEMA,4,23,1,17,3
8,BEMA,5,5,1,19,3
8,CHFU,2,13,16,07,3
8,CHFU,2,20,13,08,3
8,CHFU,2,26,24,09,3
8,CHFU,3,5,8,10,3
8,CHFU,3,10,5,11,3
8,CHFU,4,23,1,17,3
8,LEMA,3,10,10,11,3
8,LEMA,4,23,54,17,3
8,LEMA,5,5,17,19,3
8,LEMA,5,18,3,21,3
8,LEMA,5,19,1,21,3
8,LEMA,5,28,2,22,3
8,LEMA,6,16,1,25,3
8,MESU,5,18,3,21,3
8,MESU,5,19,2,21,3
8,PUPA,5,19,2,21,3
8,PUPA,5,28,1,22,3
8,PUPA,6,1,3,23,3
8,PUPA,6,8,5,24,3
8,PUPA,6,16,7,25,3
8,SCLA,3,10,5,11,3
9,BEMA,5,28,1,22,3
9,CETE,6,8,1,24,3
9,CHFU,2,13,14,07,3
9,CHFU,2,20,18,08,3
9,CHFU,2,26,30,09,3
9,CHFU,3,5,19,10,3
9,CHFU,3,10,32,11,3
9,CHFU,4,23,1,17,3
9,CHMI,6,1,1,23,3
9,LEMA,4,23,64,17,3
9,LEMA,5,5,42,19,3
9,LEMA,5,18,2,21,3
9,LEMA,5,19,16,21,3
9,LEMA,5,28,1,22,3
9,LEMA,6,8,1,24,3
9,PUPA,5,18,1,21,3
9,PUPA,5,19,1,21,3
9,PUPA,6,8,3,24,3
9,PUPA,6,16,3,25,3
9,SCLA,5,5,1,19,3
9,SCLA,6,1,1,23,3
9,SOAS,3,10,1,11,3
9,SOAS,5,5,2,19,3
