species;year;viable_seeds_per_fruit
BEMA;2015;4
CETE;2015;146
CHFU;2015;63
CHMI;2015;47
COSQ;2015;4
FRPU;2015;80
HOMA;2015;15
LEMA;2015;55
LYTR;2015;41
MEEL;2015;1
MEPO;2015;4
MESU;2015;2
PAIN;2015;23
PLCO;2015;34
POMA;2015;140
POMO;2015;77
PUPA;2015;68
RAPE;2015;8
SASO;2015;2
SCLA;2015;38
SOAS;2015;29
SPRU;2015;47
SUSP;2015;4
BEMA;2016;4
CETE;2016;338
CHFU;2016;84
CHMI;2016;55
COSQ;2016;NA
FRPU;2016;52
HOMA;2016;12
LEMA;2016;48
LYTR;2016;NA
MEEL;2016;1
MEPO;2016;NA
MESU;2016;2
PAIN;2016;1
PLCO;2016;22
POMA;2016;86
POMO;2016;61
PUPA;2016;90
RAPE;2016;NA
SASO;2016;2
SCLA;2016;24
SOAS;2016;45
SPRU;2016;84
SUSP;2016;4
BEMA;2019;NA
CETE;2019;NA
CHFU;2019;68
CHMI;2019;NA
COSQ;2019;NA
FRPU;2019;NA
HOMA;2019;NA
LEMA;2019;44
LYTR;2019;NA
MEEL;2019;NA
MEPO;2019;NA
MESU;2019;NA
PAIN;2019;NA
PLCO;2019;NA
POMA;2019;NA
POMO;2019;NA
PUPA;2019;NA
RAPE;2019;NA
SASO;2019;NA
SCLA;2019;34
SOAS;2019;NA
SPRU;2019;NA
SUSP;2019;NA
